Protein_IDs	Majority_protein_IDs	Peptide_counts_all	Peptide_counts_razor_unique	Peptide_counts_unique	Fasta_headers	Number_of_proteins	Peptides	Razor_unique_peptides	Unique_peptides	Peptides_C_R1	Peptides_C_R2	Peptides_C_R3	Peptides_D_R1	Peptides_D_R2	Peptides_D_R3	Razor_unique_peptides_C_R1	Razor_unique_peptides_C_R2	Razor_unique_peptides_C_R3	Razor_unique.peptides_D_R1	Razor_unique_peptides_D_R2	Razor_unique_peptides_D_R3	Unique_peptides_C_R1	Unique_peptides_C_R2	Unique_peptides_C_R3	Unique_peptides_D_R1	Unique_peptides_D_R2	Unique_peptides_D_R3	Sequence_coverage	Unique_razor_sequence_coverage	Unique_sequence_coverage	Mol_weight_kDa	Sequence_length	Sequence_lengths	Q_value	Identification_type_C_R1	Identification_type_C_R2	Identification_type_C_R3	Identification_type_D_R1	Identification_type_D_R2	Identification_type_D_R3	Sequence_coverage_C_R1	Sequence_coverage_C_R2	Sequence_coverage_C_R3	Sequence_coverage_D_R1_	Sequence_coverage_D_R2	Sequence_coverage_D_R3	Intensity	Intensity_C_R1	Intensity_C_R2	Intensity_C_R3	Intensity_D_R1	Intensity_D_R2	Intensity_D_R3	iBAQ	iBAQ_C_R1	iBAQ_C_R2	iBAQ_C_R3	iBAQ_D_R1	iBAQ_D_R2	iBAQ_D_R3	LFQ_intensity_C_R1	LFQ_intensity_C_R2	LFQ_intensity_C_R3	LFQ_intensity_D_R1	LFQ_intensity_D_R2	LFQ_intensity_D_R3	MS_MS_Count_C_R1	MS_MS_Count_C_R2	MS_MS_Count_C_R3	MS_MS_Count_D_R1	MS.MS_Count_D_R2	MS_MS_Count_D_R3	MS_MS_Count	Only_identified_by_site	Reverse	Potential_contaminant	id	Peptide_IDs	Peptide_is_razor	Mod_peptide_IDs	Evidence_IDs	MS_MS_IDs	Best_MS_MS	Oxidation_M_site_IDs	Oxidation_M_site_positions
O00762	O00762upsedyp|UBE2C_HUMAN_upsedyp	7	7	7	>O00762upsedyp|UBE2C_HUMAN_upsedyp Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	1	7	7	7	6	6	6	6	5	5	6	6	6	6	5	5	6	6	6	6	5	5	61.1	61.1	61.1	20.475	185	185	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	56.8	56.8	45.9	56.8	41.6	41.6	3048300000	776290000	739650000	758020000	271430000	248320000	254590000	254020000	64690000	61638000	63168000	22619000	20693000	21215000	749320000	738650000	737450000	277850000	273480000	269880000	15	12	14	7	8	8	64				10	"3495;4218;7115;11466;13260;13293;13651"	"True;True;True;True;True;True;True"	"3519;4246;7158;11552;13356;13389;13747"	"23564;23565;23566;23567;23568;23569;28143;28144;28145;28146;28147;28148;28149;28150;47121;47122;47123;47124;47125;47126;47127;76156;76157;76158;76159;76160;88798;88799;88800;88801;88802;88803;89001;89002;89003;89004;89005;89006;89007;89008;89009;89010;91349"	"33334;33335;33336;33337;33338;33339;33340;33341;33342;33343;39545;39546;39547;39548;39549;39550;39551;39552;39553;39554;39555;39556;39557;39558;39559;65636;65637;65638;65639;65640;65641;65642;65643;65644;65645;65646;65647;65648;65649;65650;65651;65652;65653;65654;65655;65656;105782;105783;105784;105785;124558;124559;124560;124561;124562;124756;124757;124758;124759;124760;124761;124762;124763;124764;124765;124766;124767;124768;128054"	"33338;39548;65651;105784;124562;124760;128054"		
O76070	O76070upsedyp|SYUG_HUMAN_upsedyp	8	8	8	>O76070upsedyp|SYUG_HUMAN_upsedyp Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	1	8	8	8	8	7	8	7	6	6	8	7	8	7	6	6	8	7	8	7	6	6	49	49	49	15.494	147	147	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	49	47.6	49	47.6	47.6	46.9	3936400000	1031600000	954360000	1002800000	345300000	234300000	367980000	393640000	103160000	95436000	100280000	34530000	23430000	36798000	941130000	962110000	959500000	356670000	349570000	360430000	24	26	23	16	12	14	115				11	"2183;2184;2689;2708;11583;11584;11878;11879"	"True;True;True;True;True;True;True;True"	"2200;2201;2708;2727;11669;11670;11964;11965"	"15012;15013;15014;15015;15016;15017;15018;15019;15020;15021;15022;15023;15024;15025;15026;15027;15028;15029;15030;15031;15032;15033;18137;18138;18139;18140;18141;18275;18276;18277;18278;18279;18280;18281;18282;18283;18284;18285;18286;18287;18288;18289;76928;76929;76930;76931;76932;76933;76934;76935;76936;76937;76938;76939;76940;78931;78932;78933;78934;78935;78936;78937;78938;78939;78940;78941;78942;78943;78944;78945;78946;78947;78948;78949;78950"	"21393;21394;21395;21396;21397;21398;21399;21400;21401;21402;21403;21404;21405;21406;21407;21408;21409;21410;21411;21412;21413;21414;21415;21416;21417;21418;21419;25758;25759;25760;25761;25762;25763;25764;25765;25766;25767;25768;25769;25770;25923;25924;25925;25926;25927;25928;25929;25930;25931;25932;25933;25934;25935;25936;25937;25938;25939;25940;25941;25942;25943;25944;25945;25946;25947;25948;25949;25950;25951;25952;25953;106959;106960;106961;106962;106963;106964;106965;106966;106967;106968;106969;106970;109696;109697;109698;109699;109700;109701;109702;109703;109704;109705;109706;109707;109708;109709;109710;109711;109712;109713;109714;109715;109716;109717;109718;109719;109720;109721;109722;109723;109724;109725;109726;109727;109728;109729"	"21410;21416;25761;25931;106964;106970;109701;109728"		
P00167	P00167upsedyp|CYB5_HUMAN_upsedyp	3	3	3	>P00167upsedyp|CYB5_HUMAN_upsedyp Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	1	3	3	3	3	3	2	2	2	2	3	3	2	2	2	2	3	3	2	2	2	2	30.7	30.7	30.7	16.153	140	140	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	30.7	30.7	24.3	24.3	24.3	24.3	2312600000	641150000	656870000	512390000	163620000	165980000	172610000	385440000	106860000	109480000	85398000	27271000	27664000	28769000	577040000	626980000	540400000	183990000	201280000	192500000	7	7	5	4	4	3	30				12	"2706;3382;13914"	"True;True;True"	"2725;3405;14010"	"18261;18262;18263;18264;18265;18266;18267;18268;18269;18270;22839;22840;22841;22842;22843;22844;22845;22846;22847;22848;22849;22850;92939;92940"	"25905;25906;25907;25908;25909;25910;25911;25912;25913;25914;25915;25916;25917;25918;32311;32312;32313;32314;32315;32316;32317;32318;32319;32320;32321;32322;32323;32324;130176;130177"	"25909;32320;130176"		
P00441	P00441upsedyp|SODC_HUMAN_upsedyp	4	4	4	>P00441upsedyp|SODC_HUMAN_upsedyp Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	1	4	4	4	4	2	3	1	1	1	4	2	3	1	1	1	4	2	3	1	1	1	54.2	54.2	54.2	15.804	153	153	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	54.2	24.8	32.7	9.2	9.2	9.2	551620000	163940000	125990000	137990000	44454000	42653000	36597000	68952000	20492000	15749000	17248000	5556800	5331600	4574600	121490000	145390000	129070000	55169000	56118000	0	7	5	5	3	1	1	22				13	"1468;3910;4235;4651"	"True;True;True;True"	"1479;3936;4265;4683"	"10443;10444;10445;26154;26155;26156;26157;26158;26159;26160;26161;26162;26163;26164;26165;28265;31075;31076"	"15157;15158;15159;36890;36891;36892;36893;36894;36895;36896;36897;36898;36899;36900;36901;36902;36903;36904;36905;36906;36907;36908;39700;43603;43604"	"15158;36905;39700;43604"		
P00709	P00709upsedyp|LALBA_HUMAN_upsedyp	6	6	6	>P00709upsedyp|LALBA_HUMAN_upsedyp Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	1	6	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	32.5	32.5	32.5	14.078	123	123	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	32.5	32.5	32.5	32.5	32.5	32.5	2.449e+09	608330000	580630000	610110000	212400000	221030000	216460000	408160000	101390000	96772000	101680000	35400000	36839000	36076000	559760000	568670000	578970000	215800000	217260000	203280000	9	11	8	3	7	7	45				14	"1104;3361;5320;5321;8467;8468"	"True;True;True;True;True;True"	"1114;3383;3384;5354;5355;8531;8532;8533"	"8045;8046;8047;8048;8049;8050;22708;22709;22710;22711;22712;22713;35241;35242;35243;35244;35245;35246;35247;35248;35249;35250;35251;35252;55992;55993;55994;55995;55996;55997;55998;55999;56000;56001;56002;56003;56004;56005;56006;56007;56008"	"11972;11973;11974;11975;11976;11977;11978;32172;32173;32174;32175;32176;32177;32178;32179;32180;49344;49345;49346;49347;49348;49349;49350;49351;49352;49353;49354;49355;49356;49357;77528;77529;77530;77531;77532;77533;77534;77535;77536;77537;77538;77539;77540;77541;77542;77543;77544"	"11975;32173;49346;49356;77530;77534"	4	90
P00915	P00915upsedyp|CAH1_HUMAN_upsedyp	9	9	9	>P00915upsedyp|CAH1_HUMAN_upsedyp Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	1	9	9	9	9	9	9	5	5	7	9	9	9	5	5	7	9	9	9	5	5	7	46.5	46.5	46.5	28.739	260	260	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	46.5	46.5	46.5	28.1	28.1	37.7	4098300000	1151600000	1182400000	1.002e+09	274850000	169300000	318120000	292740000	82254000	84460000	71573000	19632000	12093000	22723000	948990000	1005500000	954850000	352350000	343490000	352040000	21	20	16	6	9	9	81				15	"114;835;836;2795;4060;4571;7834;10311;12421"	"True;True;True;True;True;True;True;True;True"	"114;843;844;2815;4087;4602;7879;10386;10387;12512"	"793;794;795;796;797;798;799;800;801;802;6041;6042;6043;6044;6045;6046;6047;6048;6049;6050;6051;6052;6053;6054;6055;6056;6057;6058;6059;18815;18816;18817;27090;27091;27092;30533;30534;30535;30536;30537;30538;30539;30540;30541;30542;30543;30544;30545;30546;51920;51921;51922;51923;51924;51925;68126;68127;68128;68129;68130;68131;68132;68133;68134;68135;82750;82751;82752;82753;82754;82755"	"1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;8969;8970;8971;8972;8973;8974;8975;8976;8977;8978;8979;8980;8981;8982;8983;8984;8985;8986;8987;8988;8989;8990;8991;8992;26637;26638;26639;38167;38168;38169;38170;42957;42958;42959;42960;42961;42962;42963;42964;42965;42966;42967;42968;42969;72236;72237;72238;72239;72240;72241;72242;72243;72244;94333;94334;94335;94336;94337;94338;94339;94340;94341;94342;115628;115629;115630;115631;115632;115633;115634;115635;115636;115637"	"1119;8971;8977;26639;38170;42959;72244;94341;115631"	"5;6"	"148;241"
P00918	P00918upsedyp|CAH2_HUMAN_upsedyp	9	9	9	>P00918upsedyp|CAH2_HUMAN_upsedyp Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	1	9	9	9	9	9	9	8	9	9	9	9	9	8	9	9	9	9	9	8	9	9	49.8	49.8	49.8	29.114	259	259	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	49.8	49.8	49.8	40.5	49.8	49.8	2947600000	710420000	780150000	804360000	172920000	268270000	211460000	226740000	54648000	60011000	61874000	13301000	20636000	16266000	720360000	693560000	732400000	269910000	258710000	280670000	20	22	20	11	10	14	97				16	"1003;2693;4061;6201;6581;9477;9757;13005;13412"	"True;True;True;True;True;True;True;True;True"	"1013;2712;4088;6240;6623;9548;9828;13098;13508"	"7309;7310;7311;7312;7313;7314;7315;7316;7317;7318;7319;7320;7321;18160;18161;18162;18163;18164;18165;27093;27094;27095;27096;27097;27098;40998;40999;41000;41001;41002;41003;41004;41005;41006;43581;43582;43583;43584;43585;62547;62548;62549;62550;62551;62552;62553;62554;62555;64565;64566;64567;64568;64569;64570;64571;87033;87034;87035;87036;87037;87038;87039;87040;89763;89764;89765;89766;89767;89768;89769"	"10854;10855;10856;10857;10858;10859;10860;10861;10862;10863;10864;10865;10866;10867;10868;10869;10870;10871;10872;10873;10874;10875;10876;10877;25791;25792;25793;25794;38171;38172;38173;38174;38175;57321;57322;57323;57324;57325;57326;57327;57328;57329;60825;60826;60827;60828;60829;60830;60831;60832;60833;86469;86470;86471;86472;86473;86474;86475;86476;86477;86478;86479;86480;86481;88990;88991;88992;88993;88994;88995;88996;88997;88998;88999;89000;89001;89002;89003;121925;121926;121927;121928;121929;121930;121931;121932;121933;121934;121935;121936;125794;125795;125796;125797;125798;125799;125800;125801;125802;125803;125804"	"10858;25792;38172;57326;60831;86481;88993;121933;125798"	7	239
P01008	P01008upsedyp|ANT3_HUMAN_upsedyp	"17;2"	"17;2"	"17;2"	>P01008upsedyp|ANT3_HUMAN_upsedyp Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	2	17	17	17	16	16	17	13	15	16	16	16	17	13	15	16	16	16	17	13	15	16	41.2	41.2	41.2	49.039	432	"432;465"	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	39.4	39.4	41.2	32.9	35.6	39.4	3951100000	960270000	917660000	1074900000	302400000	336750000	359170000	151970000	36933000	35295000	41342000	11631000	12952000	13814000	848230000	827370000	935410000	331050000	340420000	347630000	43	41	46	18	20	21	189				17	"113;680;872;873;1638;2731;2934;3078;4599;5185;6952;6953;7889;8283;9721;11738;12016"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"113;686;881;882;1651;2750;2751;2954;3098;4630;5219;6995;6996;7934;8342;8343;9792;11824;12105"	"786;787;788;789;790;791;792;4782;4783;4784;4785;4786;4787;4788;4789;4790;4791;4792;6287;6288;6289;6290;6291;6292;6293;6294;6295;6296;6297;6298;6299;6300;6301;6302;6303;6304;6305;6306;6307;6308;11509;11510;11511;11512;11513;11514;18427;18428;18429;18430;18431;18432;18433;18434;18435;18436;18437;18438;18439;18440;18441;18442;18443;18444;18445;18446;18447;18448;18449;18450;18451;19690;19691;19692;19693;19694;19695;21022;21023;21024;21025;21026;21027;30726;30727;30728;30729;30730;30731;34359;46001;46002;46003;46004;46005;46006;46007;46008;46009;46010;46011;46012;46013;46014;46015;46016;46017;46018;52298;52299;52300;52301;52302;52303;52304;52305;52306;54739;54740;54741;54742;54743;54744;54745;54746;54747;54748;54749;54750;54751;54752;54753;54754;54755;54756;54757;54758;54759;54760;54761;54762;64251;64252;64253;64254;64255;77889;77890;77891;77892;77893;77894;79915;79916;79917;79918;79919;79920"	"1107;1108;1109;1110;1111;1112;6997;6998;6999;7000;7001;7002;7003;7004;7005;7006;9312;9313;9314;9315;9316;9317;9318;9319;9320;9321;9322;9323;9324;9325;9326;9327;9328;9329;9330;16540;16541;16542;16543;16544;26167;26168;26169;26170;26171;26172;26173;26174;26175;26176;26177;26178;26179;26180;26181;26182;26183;26184;26185;26186;26187;26188;26189;26190;26191;26192;26193;26194;26195;26196;27879;27880;27881;27882;27883;27884;27885;27886;27887;29862;29863;29864;29865;29866;29867;29868;29869;29870;43184;43185;43186;43187;43188;43189;43190;43191;43192;43193;48208;64160;64161;64162;64163;64164;64165;64166;64167;64168;64169;64170;64171;64172;64173;64174;64175;64176;64177;64178;64179;64180;64181;64182;64183;64184;72801;72802;72803;72804;72805;72806;75844;75845;75846;75847;75848;75849;75850;75851;75852;75853;75854;75855;75856;75857;75858;75859;75860;75861;75862;75863;75864;75865;75866;75867;75868;75869;75870;75871;75872;75873;75874;75875;75876;75877;75878;75879;75880;75881;75882;88537;88538;88539;88540;88541;88542;108181;108182;108183;108184;108185;108186;108187;108188;111331;111332;111333;111334;111335;111336;111337;111338;111339;111340;111341;111342;111343;111344;111345;111346;111347;111348"	"1112;7005;9316;9329;16544;26175;27887;29868;43192;48208;64171;64183;72804;75862;88542;108181;111336"	"8;9;10;11;12;13;14"	"17;20;89;251;252;338;423"
P01031	P01031upsedyp|CO5_HUMAN_upsedyp	3	3	3	>P01031upsedyp|CO5_HUMAN_upsedyp Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	1	3	3	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	41.9	41.9	41.9	8.2736	74	74	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	41.9	41.9	41.9	41.9	41.9	41.9	1.42e+08	31991000	38588000	30531000	16594000	12262000	12036000	47334000	10664000	12863000	10177000	5531200	4087300	4012100	25998000	27216000	41933000	16005000	15936000	15599000	2	4	4	2	1	3	16				18	"273;1097;7890"	"True;True;True"	"277;1107;7935"	"1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;7992;7993;7994;52307;52308;52309;52310;52311;52312"	"2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;11893;11894;11895;72807;72808;72809"	"2824;11894;72809"		
P01112	P01112upsedyp|RASH_HUMAN_upsedyp	8	8	8	>P01112upsedyp|RASH_HUMAN_upsedyp GTPase HRas (Chain 1-189) - Homo sapiens (Human)	1	8	8	8	8	8	7	6	5	6	8	8	7	6	5	6	8	8	7	6	5	6	56.1	56.1	56.1	21.298	189	189	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	56.1	56.1	42.3	42.3	29.6	43.4	1188100000	3.08e+08	298450000	290910000	103810000	92922000	93975000	118810000	30800000	29845000	29091000	10381000	9292200	9397500	270500000	262220000	257270000	112780000	103480000	110420000	21	17	18	8	8	9	81				19	"1832;6666;7710;9219;9559;10963;11293;11727"	"True;True;True;True;True;True;True;True"	"1848;1849;6708;7755;9289;9630;11043;11379;11813"	"12708;12709;12710;12711;12712;12713;12714;44116;44117;44118;44119;44120;44121;51102;51103;51104;51105;51106;60777;60778;60779;60780;60781;60782;60783;60784;60785;63122;63123;63124;63125;72496;72497;72498;72499;72500;72501;74995;74996;74997;74998;74999;75000;75001;75002;77818;77819;77820;77821;77822;77823;77824"	"18176;18177;18178;18179;18180;18181;18182;18183;18184;61555;61556;61557;61558;61559;61560;61561;61562;61563;61564;61565;61566;71119;71120;71121;71122;71123;84188;84189;84190;84191;84192;84193;84194;84195;84196;84197;84198;84199;84200;84201;87169;87170;100626;100627;100628;100629;100630;100631;100632;100633;100634;100635;100636;100637;100638;100639;100640;100641;100642;100643;100644;100645;100646;100647;100648;100649;104013;104014;104015;104016;104017;104018;104019;104020;104021;108074;108075;108076;108077;108078;108079;108080;108081;108082;108083"	"18181;61565;71119;84196;87170;100633;104021;108082"	"15;16;17"	"67;111;182"
P01127	P01127upsedyp|PDGFB_HUMAN_upsedyp	4	4	4	>P01127upsedyp|PDGFB_HUMAN_upsedyp Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	1	4	4	4	4	4	4	3	2	3	4	4	4	3	2	3	4	4	4	3	2	3	40.4	40.4	40.4	12.294	109	109	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	40.4	40.4	40.4	40.4	30.3	30.3	934680000	237150000	221830000	303900000	57932000	50897000	62969000	133530000	33879000	31689000	43415000	8276000	7270900	8995500	183820000	198880000	223970000	59918000	72430000	52852000	13	11	13	2	1	1	41				20	"1108;8924;9047;11603"	"True;True;True;True"	"1118;8992;9116;11689"	"8069;8070;8071;8072;58899;58900;58901;58902;58903;58904;58905;58906;58907;58908;58909;58910;59620;59621;59622;59623;77033;77034;77035;77036;77037;77038;77039;77040;77041;77042;77043;77044;77045;77046;77047;77048;77049;77050;77051;77052;77053;77054;77055;77056;77057;77058;77059;77060;77061;77062;77063;77064;77065;77066;77067;77068;77069;77070;77071;77072;77073;77074"	"11997;11998;11999;12000;12001;12002;12003;81650;81651;81652;81653;81654;81655;81656;81657;81658;82499;82500;82501;107061;107062;107063;107064;107065;107066;107067;107068;107069;107070;107071;107072;107073;107074;107075;107076;107077;107078;107079;107080;107081;107082;107083;107084;107085;107086;107087;107088;107089;107090;107091;107092;107093;107094;107095"	"12002;81654;82500;107087"		
P01133	P01133upsedyp|EGF_HUMAN_upsedyp	1	1	1	>P01133upsedyp|EGF_HUMAN_upsedyp Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.1	24.1	24.1	6.3532	54	54	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	24.1	24.1	24.1	24.1	24.1	24.1	833890000	217820000	206370000	200670000	74245000	64104000	70691000	416950000	108910000	103190000	100330000	37122000	32052000	35346000	230110000	230480000	196600000	68398000	56505000	54031000	3	3	3	1	2	2	14				21	13319	True	13415	"89145;89146;89147;89148;89149;89150;89151;89152;89153;89154;89155;89156"	"124922;124923;124924;124925;124926;124927;124928;124929;124930;124931;124932;124933;124934;124935"	124934		
P01344	P01344upsedyp|IGF2_HUMAN_upsedyp	2	2	2	>P01344upsedyp|IGF2_HUMAN_upsedyp Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	37.3	37.3	37.3	7.4754	67	67	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	37.3	37.3	37.3	37.3	37.3	37.3	3077400000	779870000	724860000	822290000	262510000	243200000	244690000	1025800000	259960000	241620000	274100000	87504000	81066000	81564000	780040000	742120000	788770000	265990000	255830000	249230000	6	7	7	4	3	5	32				22	"4248;9841"	"True;True"	"4278;9914"	"28346;28347;28348;28349;28350;28351;65166;65167;65168;65169;65170;65171;65172;65173;65174;65175;65176;65177"	"39789;39790;39791;39792;39793;39794;39795;39796;39797;89971;89972;89973;89974;89975;89976;89977;89978;89979;89980;89981;89982;89983;89984;89985;89986;89987;89988;89989;89990;89991;89992;89993;89994;89995"	"39797;89983"		
P01375	P01375upsedyp|TNFA_HUMAN_upsedyp	5	5	5	>P01375upsedyp|TNFA_HUMAN_upsedyp Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	1	5	5	5	5	5	4	5	5	4	5	5	4	5	5	4	5	5	4	5	5	4	61.1	61.1	61.1	17.352	157	157	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	61.1	61.1	47.8	61.1	61.1	47.8	1638500000	459730000	405810000	353450000	161190000	133800000	124560000	163850000	45973000	40581000	35345000	16119000	13380000	12456000	432400000	387540000	350110000	162080000	155320000	157080000	15	16	15	11	8	10	75				23	"1765;2863;4324;11676;12709"	"True;True;True;True;True"	"1779;2883;4354;11762;12802"	"12295;12296;12297;12298;12299;12300;12301;19233;19234;19235;19236;19237;19238;28832;28833;28834;28835;28836;28837;28838;28839;28840;28841;28842;28843;28844;77513;77514;77515;77516;77517;77518;77519;77520;77521;84756;84757;84758;84759;84760;84761"	"17577;17578;17579;17580;17581;17582;27219;27220;27221;27222;27223;27224;27225;27226;27227;27228;27229;27230;27231;27232;27233;27234;40384;40385;40386;40387;40388;40389;40390;40391;40392;40393;40394;40395;40396;107659;107660;107661;107662;107663;107664;107665;107666;107667;107668;107669;107670;107671;107672;107673;107674;107675;107676;107677;107678;107679;107680;107681;107682;118683;118684;118685;118686;118687;118688;118689;118690;118691;118692;118693;118694;118695;118696;118697;118698;118699;118700"	"17581;27228;40388;107663;118690"		
P01579	P01579upsedyp|IFNG_HUMAN_upsedyp	4	4	4	>P01579upsedyp|IFNG_HUMAN_upsedyp Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	1	4	4	4	4	4	4	2	2	1	4	4	4	2	2	1	4	4	4	2	2	1	32.9	32.9	32.9	16.776	143	143	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	32.9	32.9	32.9	17.5	17.5	9.1	876870000	230200000	216060000	2.53e+08	63372000	66452000	47786000	175370000	46040000	43213000	50600000	12674000	13290000	9557300	233050000	216620000	221180000	79106000	79535000	0	7	6	6	2	2	2	25				24	"6519;7376;7377;13479"	"True;True;True;True"	"6561;7420;7421;13575"	"43232;43233;43234;43235;43236;48733;48734;48735;48736;48737;48738;48739;48740;48741;48742;48743;48744;48745;48746;90215;90216;90217"	"60341;60342;60343;60344;60345;67784;67785;67786;67787;67788;67789;67790;67791;67792;67793;67794;67795;67796;67797;67798;67799;126313;126314;126315;126316;126317"	"60344;67795;67797;126314"	18	45
P02144	P02144upsedyp|MYG_HUMAN_upsedyp	4	4	4	>P02144upsedyp|MYG_HUMAN_upsedyp Myoglobin (Chain 2-154) - Homo sapiens (Human)	1	4	4	4	4	4	3	2	1	2	4	4	3	2	1	2	4	4	3	2	1	2	39.2	39.2	39.2	17.052	153	153	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	39.2	39.2	28.8	19.6	9.8	19.6	1.721e+09	390980000	387480000	460460000	163210000	193480000	125390000	191220000	43443000	43054000	51162000	18135000	21498000	13932000	431340000	411790000	516170000	63393000	174930000	117400000	10	9	11	3	3	5	41				25	"4592;4631;12167;13589"	"True;True;True;True"	"4623;4662;4663;12256;13685"	"30670;30671;30672;30960;30961;30962;30963;30964;30965;30966;30967;80903;80904;80905;80906;80907;80908;80909;80910;80911;80912;80913;80914;90965;90966;90967;90968"	"43124;43125;43126;43475;43476;43477;43478;43479;43480;112753;112754;112755;112756;112757;112758;112759;112760;112761;112762;112763;112764;112765;112766;112767;112768;112769;112770;112771;112772;112773;112774;112775;112776;112777;112778;112779;112780;127451;127452;127453;127454"	"43125;43478;112761;127452"	19	131
P02741	P02741upsedyp|CRP_HUMAN_upsedyp	3	3	3	>P02741upsedyp|CRP_HUMAN_upsedyp C-reactive protein (Chain 19-224) - Homo sapiens (Human)	1	3	3	3	3	3	2	2	1	1	3	3	2	2	1	1	3	3	2	2	1	1	17.3	17.3	17.3	23.251	208	208	0	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	Quant. by direct id	17.3	17.3	12	12	4.8	4.8	242560000	70421000	69556000	62887000	4787900	16517000	18393000	40427000	11737000	11593000	10481000	797980	2752900	3065500	68346000	69893000	64432000	0	0	0	3	3	3	1	1	2	13				26	"4548;9124;13457"	"True;True;True"	"4579;9194;13553"	"30407;30408;30409;30410;30411;30412;60244;60245;90063;90064;90065;90066"	"42814;42815;42816;42817;42818;42819;42820;42821;42822;42823;83473;126119;126120"	"42823;83473;126119"		
